Date,Actual_Close,Linear_regression_Close,ARIMA_Close,LSTM_Close
2018-09-04,3184.14990234375,3275.6071475797803,3188.349760790729,
2018-09-05,3145.39990234375,3271.913457042072,3184.5509854994593,
2018-09-06,3164.85009765625,3268.219766504364,3207.1202607827317,
2018-09-07,3329.35009765625,3264.5260759666558,3202.465613434525,
2018-09-10,3278.300048828125,3257.640557016712,3180.6850592344426,
2018-09-11,3184.199951171875,3253.946866479004,3152.847683385364,
2018-09-12,3163.75,3250.253175941063,3067.9986563630487,
2018-09-14,3186.64990234375,3242.8657948656482,3040.875104984803,
2018-09-17,3127.89990234375,3235.98027591547,3050.556148239976,
2018-09-18,3111.449951171875,3232.286585377761,3064.1603876454633,
2018-09-19,3153.949951171875,3228.5928948398214,3074.0949552404627,3245.6753
2018-09-21,3175.199951171875,3221.2055137644056,3069.602387468657,3238.7974
2018-09-24,3110.199951171875,3214.319994814461,3090.675243336678,3235.4749
2018-09-25,3112.60009765625,3210.6263042765204,3106.579030302313,3228.9412
2018-09-26,3100.050048828125,3206.9326137385797,3109.347465937717,3214.1301
2018-09-27,3088.10009765625,3203.2389232008727,3091.1928000226976,3202.177
2018-09-28,2933.25,3199.545232663164,3079.107231849057,3194.4673
2018-10-01,2973.0,3256.1832416900434,3077.3876472645666,3179.2627
2018-10-03,2913.5,3247.71699973708,3062.400788401569,3160.2341
2018-10-04,2763.5,3244.023309199373,3053.957941238375,3140.0308
2018-10-05,2740.75,3240.329618661432,3063.627989382362,3111.0188
2018-10-08,2873.050048828125,3233.444099711486,3073.01961366913,3074.1184
2018-10-09,2891.75,3229.750409173779,3053.7965961250025,3041.1677
2018-10-10,2920.10009765625,3226.0567186358385,3038.225722912821,3017.248
2018-10-11,2871.0,3222.3630280981306,3027.773880326123,2999.6165
2018-10-12,2893.949951171875,3218.669337560423,3055.3851839282715,2985.3828
2018-10-15,2881.25,3211.7838186104773,3069.510318091435,2975.2878
2018-10-16,2895.199951171875,3208.0901280727703,3050.5727373243303,2974.2532
2018-10-17,2807.550048828125,3204.3964375348296,3010.022435975905,2972.606
2018-10-19,2712.75,3197.009056459414,3004.1959049179773,2970.3965
2018-10-22,2731.800048828125,3190.1235375092365,2973.582823543931,2967.6177
2018-10-23,2724.25,3186.429846971529,2967.310975671629,2960.9631
2018-10-24,2701.64990234375,3182.7361564335883,2963.7445934109783,2945.1084
2018-10-25,2695.10009765625,3179.04246589588,2983.2252800631663,2926.866
2018-10-26,2705.35009765625,3175.348775358172,2977.907580277721,2907.1152
2018-10-29,2749.85009765625,3168.463256408228,2948.7439014202705,2891.0327
2018-10-30,2773.89990234375,3164.76956587052,2955.8610560275224,2877.5823
2018-10-31,2762.35009765625,3195.1412556332066,2966.2262238309168,2869.1824
2018-11-01,2792.25,3143.7554814342875,2979.687568310812,2863.0796
2018-11-02,2896.60009765625,3149.624328566249,2966.9329129907173,2864.4739
2018-11-05,2847.800048828125,3142.738809616305,2944.533590167667,2876.769
2018-11-06,2856.050048828125,3139.0451190785966,2931.1204794033033,2889.547
2018-11-07,2888.550048828125,3135.351428540657,2883.825849642254,2903.2932
2018-11-09,2956.699951171875,3127.964047465241,2868.151863551131,2919.2483
2018-11-12,2839.35009765625,3121.0785285150628,2874.8917172578167,2938.7166
2018-11-13,2879.699951171875,3117.3848379773553,2888.259465669139,2953.2817
2018-11-14,2847.550048828125,3113.691147439647,2884.157438378307,2963.932
2018-11-15,2922.14990234375,3109.997456901707,2870.1465881972435,2970.4092
2018-11-16,2961.89990234375,3106.303766363999,2876.6053162702888,2978.75
2018-11-19,2980.64990234375,3099.4182474140543,2895.559322276057,2988.2744
2018-11-20,2960.10009765625,3095.7245568763465,2904.848575323817,2995.5952
2018-11-21,2912.050048828125,3092.0308663386377,2887.6050835544124,3006.0515
2018-11-22,2917.75,3088.3371758006983,2862.8310553993324,3013.4653
2018-11-26,3076.0,3077.757966312813,2857.0180423359666,3017.4937
2018-11-27,2958.14990234375,3074.0642757751048,2829.1578046647387,3025.1357
2018-11-28,2999.14990234375,3070.370585237397,2819.90503320903,3036.8232
2018-11-29,3016.800048828125,3066.6768946996885,2824.0884836993346,3046.4512
2018-11-30,3055.199951171875,3097.0485844623768,2838.0484777681913,3058.0464
2018-12-03,3039.89990234375,3118.5423523113127,2827.2593856958033,3067.8225
