Date,ASHOKLEY_Close,TATAMTRDVR_Close,Spread,zscore
2018-08-06,118.25,140.64999389648438,-22.399993896484375,-1.5159376712413926
2018-08-07,119.5500030517578,139.85000610351562,-20.300003051757827,-1.3592349281471694
2018-08-08,125.6999969482422,141.9499969482422,-16.249999999999986,-1.0570209497652445
2018-08-09,129.25,143.3000030517578,-14.050003051757812,-0.8928556833050663
2018-08-10,127.5500030517578,140.0,-12.449996948242202,-0.7734621411770078
2018-08-13,125.5,136.0,-10.5,-0.6279520445105116
2018-08-14,126.0,135.44999694824222,-9.449996948242216,-0.5496001036528
2018-08-16,126.1999969482422,134.5,-8.300003051757798,-0.46378677805033125
2018-08-17,128.35000610351562,135.85000610351562,-7.5,-0.4040900069863026
2018-08-20,128.30000305175778,144.10000610351562,-15.800003051757841,-1.0234418718608569
2018-08-21,128.69999694824222,144.6999969482422,-15.999999999999972,-1.0383657799715593
2018-08-23,132.30000305175778,140.39999389648438,-8.099990844726591,-0.4488617313184246
2018-08-24,129.19999694824222,139.19999694824222,-10.0,-0.5906417049231435
2018-08-27,132.85000610351562,140.30000305175778,-7.449996948242159,-0.40035874530332305
2018-08-28,132.35000610351562,139.19999694824222,-6.849990844726591,-0.3555858823500042
2018-08-29,131.89999389648438,140.55000305175778,-8.650009155273409,-0.4899044712099692
2018-08-30,130.85000610351562,138.19999694824222,-7.349990844726591,-0.39289622193737234
2018-08-31,129.05000305175778,142.0500030517578,-13.000000000000028,-0.8145037424473546
2018-09-03,133.44999694824222,144.14999389648438,-10.699996948242159,-0.6428759526212161
2018-09-04,127.8499984741211,142.85000610351562,-15.000007629394531,-0.9637456701074267
2018-09-05,127.4499969482422,142.9499969482422,-15.499999999999986,-1.0010554403841923
2018-09-06,129.69999694824222,144.1999969482422,-14.499999999999972,-0.9264347612094548
2018-09-07,132.0,147.75,-15.75,-1.0197106101778772
2018-09-10,129.64999389648438,146.75,-17.100006103515625,-1.1204489825122528
2018-09-11,127.75,142.75,-15.0,-0.9637451007968251
2018-09-12,127.8499984741211,142.39999389648438,-14.549995422363281,-0.9301654535818328
2018-09-14,131.25,143.8000030517578,-12.550003051757812,-0.7809246645429617
2018-09-17,127.4499969482422,140.64999389648438,-13.199996948242173,-0.829427650558058
2018-09-18,126.4000015258789,137.94999694824222,-11.54999542236331,-0.7063034160576259
2018-09-19,125.8000030517578,136.69999694824222,-10.899993896484418,-0.657799860731928
2018-09-21,122.3000030517578,132.05000305175778,-9.749999999999986,-0.5719865351294583
2018-09-24,120.3499984741211,128.05000305175778,-7.70000457763669,-0.41901448440760874
2018-09-25,121.9000015258789,127.0500030517578,-5.150001525878892,-0.22873152478779155
2018-09-26,120.6500015258789,123.0500030517578,-2.400001525878892,-0.023524657057266637
2018-09-27,120.4000015258789,118.6500015258789,1.75,0.2861512753800084
2018-09-28,119.0999984741211,116.5500030517578,2.5499954223632955,0.34584747713343755
2018-10-01,120.1500015258789,120.9499969482422,-0.7999954223632955,0.09586888507079065
2018-10-03,119.1500015258789,120.6500015258789,-1.5,0.04363406806211532
2018-10-04,118.0500030517578,120.6999969482422,-2.6499938964844034,-0.04217925754035229
2018-10-05,107.75,117.3499984741211,-9.599998474121094,-0.5607933193911286
2018-10-08,109.1500015258789,115.4499969482422,-6.2999954223632955,-0.31454485039025915
2018-10-09,110.8499984741211,101.5500030517578,9.299995422363295,0.8495370615629078
2018-10-10,114.5500030517578,103.3000030517578,11.25,0.9950477275400036
2018-10-11,111.8000030517578,101.8499984741211,9.950004577636705,0.8980411861992063
2018-10-12,115.8000030517578,100.9000015258789,14.900001525878892,1.2674133203899105
2018-10-15,117.0500030517578,101.4499969482422,15.600006103515597,1.3196481373985858
2018-10-16,120.5500030517578,101.3499984741211,19.200004577636705,1.5882824685655172
2018-10-17,114.3000030517578,100.1500015258789,14.150001525878892,1.2114478110088582
2018-10-19,112.5,96.0,16.5,1.3868062932073693
2018-10-22,112.8000030517578,92.9000015258789,19.900001525878892,1.640516716263592
2018-10-23,111.4499969482422,94.8499984741211,16.599998474121108,1.3942682472627237
2018-10-24,116.8000030517578,93.6999969482422,23.100006103515597,1.8793032312091082
2018-10-25,112.8499984741211,91.3000030517578,21.549995422363295,1.7636403814534278
2018-10-26,113.1500015258789,91.1999969482422,21.950004577636705,1.7934893362960422
2018-10-29,115.25,95.9499969482422,19.3000030517578,1.5957444226208706
2018-10-30,115.0,96.9000015258789,18.099998474121094,1.5061992660248271
2018-10-31,114.6999969482422,97.6999969482422,17.0,1.4241166327947374
2018-11-01,113.3499984741211,97.5999984741211,15.75,1.330840783826317
2018-11-02,117.6999969482422,102.5500030517578,15.149993896484403,1.2860679208729962
