Date,HEROMOTOCO_Close,BAJAJ-AUTO_Close,Spread,zscore
2019-05-17,2622.550048828125,3040.050048828125,-417.5,-2.5661172639119454
2019-05-20,2713.449951171875,3006.300048828125,-292.85009765625,-0.9602199221051361
2019-05-21,2657.199951171875,2979.300048828125,-322.10009765625,-1.3370553336429005
2019-05-22,2699.64990234375,3047.199951171875,-347.550048828125,-1.6649337207700636
2019-05-23,2743.5,3065.0,-321.5,-1.3293241183521034
2019-05-24,2828.449951171875,3077.89990234375,-249.449951171875,-0.4010844670200519
2019-05-27,2821.199951171875,3066.89990234375,-245.699951171875,-0.35277223477162056
2019-05-28,2743.10009765625,2988.0,-244.89990234375,-0.3424649961597645
2019-05-29,2725.5,2925.5,-200.0,0.23599220649707187
2019-05-30,2715.199951171875,2945.0,-229.800048828125,-0.14792962816931987
2019-05-31,2680.25,2925.89990234375,-245.64990234375,-0.3521274426094508
2019-06-03,2840.25,3034.60009765625,-194.35009765625,0.3087813782869936
2019-06-04,2752.699951171875,2983.89990234375,-231.199951171875,-0.16596493674435275
2019-06-06,2788.75,2991.64990234375,-202.89990234375,0.19863200502266642
2019-06-07,2762.800048828125,2961.39990234375,-198.599853515625,0.2540306603997251
2019-06-10,2745.0,2989.800048828125,-244.800048828125,-0.3411785571630452
2019-06-11,2776.14990234375,2987.14990234375,-211.0,0.0942763252350066
2019-06-12,2728.050048828125,2944.5,-216.449951171875,0.02406317676614381
2019-06-13,2705.10009765625,2922.64990234375,-217.5498046875,0.009893475836509489
2019-06-14,2670.300048828125,2872.550048828125,-202.25,0.20700486714801306
2019-06-17,2648.25,2836.199951171875,-187.949951171875,0.39123614185422195
2019-06-18,2667.800048828125,2855.60009765625,-187.800048828125,0.39316737301311105
2019-06-19,2606.14990234375,2822.89990234375,-216.75,0.020197569120745235
2019-06-20,2665.699951171875,2897.300048828125,-231.60009765625,-0.171120128714091
2019-06-21,2606.0,2875.550048828125,-269.550048828125,-0.660039290002692
2019-06-24,2586.25,2816.89990234375,-230.64990234375,-0.15887851361572544
2019-06-25,2584.64990234375,2843.699951171875,-259.050048828125,-0.5247650397070842
2019-06-26,2573.60009765625,2868.699951171875,-295.099853515625,-0.9892041161265746
2019-06-27,2598.39990234375,2865.85009765625,-267.4501953125,-0.6329863271401427
2019-06-28,2581.5,2827.050048828125,-245.550048828125,-0.35084100361273146
2019-07-01,2616.5,2911.949951171875,-295.449951171875,-0.993714515934143
2019-07-02,2597.050048828125,2883.550048828125,-286.5,-0.8784099507000775
2019-07-03,2587.5,2897.75,-310.25,-1.1843874216068093
2019-07-04,2606.14990234375,2894.800048828125,-288.650146484375,-0.9061108510524171
2019-07-05,2512.300048828125,2842.550048828125,-330.25,-1.4420526602651098
2019-07-08,2380.14990234375,2777.800048828125,-397.650146484375,-2.3103864017401543
2019-07-09,2444.10009765625,2786.39990234375,-342.2998046875,-1.5972934502946394
2019-07-10,2400.0,2740.39990234375,-340.39990234375,-1.572816510753149
2019-07-11,2507.800048828125,2711.699951171875,-203.89990234375,0.1857487430897514
2019-07-12,2569.800048828125,2722.550048828125,-152.75,0.8447263328273067
2019-07-15,2545.550048828125,2714.0,-168.449951171875,0.6424597495460649
2019-07-16,2544.35009765625,2732.449951171875,-188.099853515625,0.3893049106953328
2019-07-17,2522.949951171875,2696.89990234375,-173.949951171875,0.5716018089150322
2019-07-18,2479.449951171875,2630.800048828125,-151.35009765625,0.8627616414023396
2019-07-19,2387.39990234375,2558.25,-170.85009765625,0.6115380337104966
2019-07-22,2403.699951171875,2562.89990234375,-159.199951171875,0.7616299224255288
2019-07-23,2469.300048828125,2523.85009765625,-54.550048828125,2.1098620255740377
2019-07-24,2403.39990234375,2522.60009765625,-119.2001953125,1.2769572544145094
2019-07-25,2386.5,2547.0,-160.5,0.7448810528472152
2019-07-26,2467.300048828125,2618.64990234375,-151.349853515625,0.8627647867299599
2019-07-29,2404.550048828125,2487.64990234375,-83.099853515625,1.7420474136514101
2019-07-30,2258.800048828125,2463.85009765625,-205.050048828125,0.17093110467032693
2019-07-31,2356.10009765625,2516.5,-160.39990234375,0.7461706371715549
2019-08-01,2368.550048828125,2537.64990234375,-169.099853515625,0.6340868874207183
2019-08-02,2401.949951171875,2600.550048828125,-198.60009765625,0.25402751507210475
2019-08-05,2399.25,2619.75,-220.5,-0.0281146631276861
2019-08-06,2468.550048828125,2609.800048828125,-141.25,0.9928838450558294
2019-08-07,2505.25,2605.10009765625,-99.85009765625,1.5262496309474631
2019-08-08,2587.89990234375,2703.75,-115.85009765625,1.3201174400208229
2019-08-09,2622.25,2707.60009765625,-85.35009765625,1.713056928974731
2019-08-13,2566.800048828125,2670.550048828125,-103.75,1.4760061675401428
2019-08-14,2634.14990234375,2713.89990234375,-79.75,1.7852044539301033
