Date,ESCORTS_Close,TATAMOTORS_Close,Spread,zscore
2019-04-18,770.5,236.25,534.25,2.4696707467432653
2019-04-22,756.25,234.8500061035156,521.3999938964844,2.1886430643227976
2019-04-23,745.1500244140625,231.6499938964844,513.5000305175781,2.0158720647064476
2019-04-24,754.5999755859375,223.6000061035156,530.9999694824219,2.3985930727878504
2019-04-25,749.1500244140625,221.8500061035156,527.3000183105469,2.3176757024360612
2019-04-26,734.0999755859375,215.6000061035156,518.4999694824219,2.125219970708563
2019-04-30,738.9000244140625,214.3000030517578,524.6000213623047,2.2586271791284154
2019-05-02,680.8499755859375,207.3000030517578,473.5499725341797,1.1421703623729242
2019-05-03,665.25,209.4499969482422,455.8000030517578,0.7539812248351357
2019-05-06,664.4500122070312,199.8000030517578,464.65000915527344,0.9475295145902315
2019-05-07,648.75,190.9499969482422,457.8000030517578,0.7977209211678218
2019-05-08,627.75,185.1000061035156,442.6499938964844,0.4663925212232852
2019-05-09,609.8499755859375,186.3500061035156,423.4999694824219,0.04758439490597643
2019-05-10,598.0,185.8999938964844,412.1000061035156,-0.20173107329257395
2019-05-13,572.7000122070312,180.75,391.95001220703125,-0.6424083803614257
2019-05-14,572.3499755859375,184.5,387.8499755859375,-0.732075558741192
2019-05-15,549.9500122070311,169.4499969482422,380.50001525878895,-0.8928180751245757
2019-05-16,561.5499877929689,175.39999389648438,386.1499938964845,-0.7692539001750927
2019-05-17,560.0499877929689,176.85000610351562,383.19998168945324,-0.8337702192317246
2019-05-20,588.6500244140625,190.1499938964844,398.5000305175781,-0.49916047442299893
2019-05-21,595.75,176.8000030517578,418.9499969482422,-0.05192281357756429
2019-05-22,594.3499755859375,179.10000610351562,415.2499694824219,-0.13284185246635344
2019-05-23,602.9500122070312,175.14999389648438,427.8000183105469,0.1416258098849314
2019-05-24,634.9000244140625,182.3000030517578,452.6000213623047,0.6839981111517182
2019-05-27,638.0999755859375,181.3500061035156,456.7499694824219,0.7747568464368817
2019-05-28,630.4000244140625,180.25,450.1500244140625,0.6304170498856577
2019-05-29,618.4000244140625,176.35000610351562,442.0500183105469,0.45327114625531933
2019-05-30,616.2999877929688,175.14999389648438,441.1499938964844,0.4335877489737706
2019-05-31,597.9500122070312,172.60000610351562,425.3500061035156,0.088044414911471
2019-06-03,605.75,174.5,431.25,0.21707638560993478
2019-06-04,603.0,173.25,429.75,0.18427161336042028
2019-06-06,577.9500122070312,169.6999969482422,408.25001525878906,-0.28592978850855455
2019-06-07,586.3499755859375,169.5,416.8499755859375,-0.09784996191724463
2019-06-10,581.3499755859375,166.1999969482422,415.1499786376953,-0.13502863705854776
2019-06-11,589.7999877929688,170.75,419.04998779296875,-0.04973602898536999
2019-06-12,575.2999877929688,169.0500030517578,406.24998474121094,-0.32967015225604057
2019-06-13,580.4500122070312,167.39999389648438,413.0500183105469,-0.18095445056862808
2019-06-14,559.4000244140625,164.1999969482422,395.2000274658203,-0.5713310401134108
2019-06-17,545.6500244140625,158.75,386.9000244140625,-0.7528508466355379
2019-06-18,536.2000122070311,158.3000030517578,377.9000091552733,-0.9496798138400275
2019-06-19,523.7000122070311,154.64999389648438,369.05001831054676,-1.1432277698877231
2019-06-20,551.3499755859375,159.25,392.0999755859375,-0.6391287040342343
2019-06-21,550.7000122070311,158.89999389648438,391.80001831054676,-0.6456887241034196
2019-06-24,551.6500244140625,159.3000030517578,392.3500213623047,-0.6336602408704485
2019-06-25,544.4000244140625,160.4499969482422,383.9500274658203,-0.8173668319847698
2019-06-26,553.4000244140625,161.10000610351562,392.3000183105469,-0.6347538000202456
2019-06-27,548.1500244140625,165.85000610351562,382.3000183105469,-0.8534522816836758
2019-06-28,536.4500122070311,162.5500030517578,373.9000091552733,-1.0371592065053996
2019-07-01,570.25,168.0,402.25,-0.41714921121401266
2019-07-02,563.9500122070312,163.75,400.20001220703125,-0.4619821329890958
2019-07-03,571.7999877929688,162.3000030517578,409.49998474121094,-0.2585931457154258
2019-07-04,570.9000244140625,165.1999969482422,405.7000274658203,-0.3416976343668092
2019-07-05,541.2000122070311,160.1999969482422,381.00001525878895,-0.8818831510414041
2019-07-08,519.4000244140625,154.5500030517578,364.8500213623047,-1.2350810654448814
2019-07-09,535.5499877929689,155.8000030517578,379.74998474121105,-0.909221128664128
2019-07-10,537.6500244140625,151.64999389648438,386.0000305175781,-0.7725335765022866
2019-07-11,544.6500244140625,156.8000030517578,387.8500213623047,-0.7320745576189921
2019-07-12,541.7999877929689,159.3000030517578,382.49998474121105,-0.8490790462066847
2019-07-15,529.1500244140625,160.9499969482422,368.2000274658203,-1.1618169406046723
2019-07-16,545.5,170.0,375.5,-1.0021676496636882
