SYMBOLS
ABB
AEGISLOG
AMARAJABAT
AMBALALSA
HDFC
ANDHRAPET
ANSALAPI
UTIQUE
ARUNAHTEL
BOMDYEING
ASIANHOTNR
ATUL
ATVPR
AUTOLITIND
BAJAJELEC
BAJAJHIND
FORCEMOT
BAJFINANCE
BALRAMCHIN
BANCOINDIA
CENTURYTEX
BANARISUG
BASF
BATAINDIA
BEML
BEL
BEPL
TATASTLBSL
BIHSPONG
BIRLACABLE
BLUESTARCO
DISAQ
BNKCAP
BPL
OAL
CENTEXT
CESC
CHAMBLFERT
EXIDEIND
CIPLA
DICIND
CRISIL
CGPOWER
DABUR
DALMIASUG
ARVIND
BALLARPUR
BHEL
HINDPETRO
IFCI
MTNL
MRPL
CHENNPETRO
RELCAPITAL
SBIN
SAIL
TITAN
IDBI
DCW
DHAMPURSUG
DIAMINESQ
ELANTAS
DRREDDY
EIDPARRY
PGHL
ELECTCAST
ESABINDIA
ESSELPRO
ESTER
FGP
PHCAP
FINCABLES
COCKERILL
UFLEX
FOSECOIND
GOLDENTOBC
GANESHBE
GARDENSILK
METROGLOBL
GODFRYPHLP
GODREJIND
KANSAINER
GOODRICKE
GOODYEAR
GTNINDS
GHCL
GFLLIMITED
GLFL
HCL-INSYS
HDFCBANK
HEROMOTOCO
HFCL
HSCL
HCC
HINDOILEXP
HSIL
HINDZINC
NXTDIGITAL
HMT
PRAGBOS
HLVLTD
IGPL
INDIAGLYCO
INDLEASE
MARGOFIN
INDORAMA
INFY
INGERRAND
INSILCO
IFSL
ITHL
IONEXCHANG
ATFL
JISLJALEQS
JASCH
JCTLTD
JINDALPOLY
JSWSTEEL
UMANGDAIR
KAJARIACER
KAKATCEM
KSL
KANELIND
WHIRLPOOL
KGDENIM
KINETICENG
KIRLOSBROS
KIRLOSIND
KIRLFER
ENVAIREL
KOTAKBANK
MAVIIND
KSB
LGBBROSLTD
TRENT
LAXMIMACH
LICHSGFIN
UTTAMVALUE
LUPIN
LYKALABS
RAMCOCEM
MAFATIND
MAHSEAMLES
MAHSCOOTER
MAJESAUT
MANALIPETC
MFSL
MESPHAR-B
MIDINDIA
MIRCELECTR
CENTENKA
LORDSCHLO
SPICEJET
MOREPENLAB
MRF
HEIDELBERG
NCC
VEDL
NAHARSPING
NATPEROX
GRASIM
PEL
NIITLTD
JAYKAY
NIRLON
ONGC
OILCOUNTUB
ORIENTHOT
OSWALAGRO
INDSUCR
RELIANCE
PILITA
PENTAGRAPH
RAYMOND
PIDILITIND
PIXTRANS
BIRLACORPN
SURYAROSNI
PRIMESECU
PRSMJOHNSN
RAIN
AMJLAND
PUNJCOMMU
RSWM
RAJSREESUG
RALLIS
RAMANEWS
RAMAPPR-B
RAMAPETRO
RAPICUT
WELSPLSOL
ROLTA
RUBFILA
RUCHISOYA
SALORAINTL
JINDALSAW
JKLAKSHMI
SHREECEM
SKPMIL
RELINFRA
STEELCO
TATAPOWER
SPMLINFRA
SUNDRMFAST
SUNFLAG
SUPPETRO*
SWARAJENG
TATAELXSI
ACC
THERMAX
TIRUMALCHM
THOMASCOOK
TIMEX
TOKYOPLAST
TORNTPHARM
TRANSCHEM
AMBUJACEM
UTLINDS
UNIPHOS
VHL
HINDALCO
WSTCSTPAPR
HOCL
MPILCORPL
PASUPTAC
KORE
PGHH
MUKANDLTD
AGCNET
UCALFUEL
HARRMALAYA
FEDERALBNK
TATASTEEL
SKFINDIA
ASHOKLEY
CUMMINSIND
TATACOMM
ABBOTINDIA
BAJAJHLDNG
BHARATFORG
ESCORTS
HINDMOTORS
LT
M&M
BOSCHLTD
PREMIER
BPCL
SIEMENS
TATAMOTORS
VOLTAS
GESHIP
DEEPAKFERT
EXCELINDUS
GARWARPOLY
GLAXO
GNFC
NOVARTIND
SANOFI
PFIZER
GSFC
HINDUNILVR
AKZOINDIA
NOCIL
TATACHEM
TNPETRO
ZUARIGLOB
NESTLEIND
TATACONSUM
ASIANPAINT
BRITANNIA
COLPAL
EIHOTEL
INDHOTEL
CASTROLIND
ITC
APOLLOTYRE
CEATLTD
MODIRUBBER
FINOLEXIND
SUNRINV
ZGOLDINV
PEOPLIN
DSINVEST
CENTRUM
TCIFINANCE
KRATOSENER
ANTARIKSH
IITL
INDPRUD
TATAINVEST
JAYBHCR
PRISMX
MOTOGENFIN
RAPIDIN
WALCHPF
ZSWASTSA
WHBRADY
TECHNVISN
SHAILY
BBTC
BOMBCYC
GREAVESCOT
MULLER
AMALGAM
ANANDPROJ
INDIANVSH
COASTCORP
CHOWGULSTM
GLOBOFFS
DHENUBUILD
ASIIL
SAGCEM
DECCANCE
MANGLMCEM
NCLIND
SAURASHCEM
SHREDIGCEM
BOMBPOT
BORORENEW
LERTHAI
TRIVENIGQ
NILACHAL
ANDHRAPAP
BALKRISIND
ORIENTPPR
CITADEL
ROLLT
SESHAPAPER
SOLIDCO
SHBHAWPA
NATHIND
VAPIPPR
SINTEX
DCM
FORBESCO
HPCOTTON
UNITEDINT
JAMSHRI
KATRSPG
KESORAMIND
LAKSHMIMIL
VTL
MODERN
PENINLAND
PHOENIXLTD
MARATHON
RAJABAH
RELCHEMQ
RUBYMILLS
SIMPLXREA
SWANENERGY
VICTMILL
ZSVTRADI
ZSVARAJT
SALSAIN
INDSOYA
ZODIACVEN
VEERENRGY
SW1
TILAK
KKFIN
UNIJOLL
WAGEND
ELCIDIN
HEALINV
SAHARA
SHRENTI
BANSWRAS
MODWOOL
MODIPON
SHRIDINE
SRF
SIYSIL
SWADPOL
FOMEHOT
SHRAJSYNQ
SHRMFGC
ZSATYASL
BBL
ELPROINTL
EMCO
GEE
HIRECT
NIPPOBATRY
ZENSARTECH
JYOTI
JSLINDL
KAYCEEI
INDOKEM
PANAENERG
NELCO
PERMAGN
HIGHENE
STDBAT
UNIVCABLES
WSIND
DLTNCBL
LAKSELEC
MODULEX
DELTAMAGNT
PAZEL
CONFINT
RELTD
GDTRAGN
EMPOWER
ZMULTIPU
REMISIN
RIDHISYN
SOFTBPO
NYSSACORP
ZVINADTR
AVTIL
KRISHNA
GANHOLD
SJCORP
UNIABEXAL
SARDAEN
BGWTATO
BOMBWIR
UNIVPRIM
GALADA
STRIPMT
IBRIGST
INDIANHUME
INLCM
INVPRECQ
INFORTEC
KAIRA
ORIENTABRA
NATIONSTD
DUNCANENG
SANDUMA
STOVACQ
TATAYODOGA
TINPLATE
CHOLAHLDNG
ZWELCAST
WMINIMT
AUTOAXLES
ATLASCYCLE
ACGL
SETCO
SCOOTER
TALBROAUTO
ZFSTEERING
SMLISUZU
TIL
EICHERMOT
JAINEX
ALFREDHE
CIMMCO
VELJAN
DYNAMATECH
GGDANDE
GMM
KIRLPNU
TULIVE
KPT
LXMIATO
LYNMC
MANUGRAPH
MIRCH
NESCO
INTEGRAEN
REVATHI
TEXINFRA
WENDT
SINDUVA
AXONVL
RESPONIND
SHYMINV
MAHACORP
DOLAT
WESTLIFE
ZEEL
GOLDCORP
WWTECHHOL
ZKOVALIN
SVPGLOB
MULTIIN
SKYLMILAR
REMIPRO
BIMETAL
TAPARIA
BHARATGEAR
BRADYM
LATIMMETAL
ELECON
DECANBRG
GRAUWEIL
GAJRA
HIMTEK
GABRIEL
HERCULES
HINDEVER
IFBIND
SINGER
INTLCOMBQ
FMGOETZE
JOSTS
SCHAEFFLER
RANEHOLDIN
ROLCOEN
SNL
JAIPAN
MANCREDIT
TRF
WPIL
KENNAMET
HINDHARD
TRITONV
SUDAI
PRAKASH
HARME
ARSHIYA
GRINDWELL
LAKPRE
ANUPMAL
STANROS
PRECTRA
GENESYS
ALNATRD
PANKAJPIYUS
PARNAXLAB
INTELLCAP
VIVIDHA
ISHWATR
TERRAFORM
APIS
ZKHATAUE
SRIOMTR
KANANIIND
GCKL
ZSARVAMA
ASL
VIKSHEN
BLISSGVS
INEOSSTYRO
ALEMBICLTD
AMNPLST
ANUHPHR
MODISNME
BAYERCROP
SASHWAT
CHEMOPH
CLNINDIA
COROMANDEL
DEEPAKNI
DHARAMSI
FERMENTA
GOCLCORP
JAYCH
JLMORI
KANORICHEM
KELENRG
KEMP
NITTAGELA
MPAGI
ORIENTCQ
PHILIPCARB
AMAL
POLYCHEM
PUNJABCHEM
GUJCMDS
SADHNANIQ
SUDARSCHEM
ULTRAMAR
TRANSPEK
UNICHEMLAB
MYSORPETRO
ALKYLAMINE
TUTIALKA
ASTRAZEN
PACL
TANFACIND
GUJPETR
SWADEIN
MASCH
GUJTHEM
JAYSYN
MAKERSL
CONTCHM
JBCHEPHARM
IGLFXPL-B
ADVPETR-B
RAJSPTR
BLUECHIPT
JAGAJITIND
KESARENT
TI
EMERALL
RAVALSUGAR
SAKHTISUG
WALCHANNAG
KHODAY
IFBAGRO
DHARSUGAR
THIRUSUGAR
KFBL
CAPRO
GMBREW
RANASUG
PICCASUG
RIGASUG
SDBL
CJGEL
MOUNTSHIQ
AMRITCORP
ASALCBR
CORAGRO
FOODSIN
IVP
KLRFM
OLYOI
MLKFOOD
POLSON
WIPRO
ORIBEVER
DHANUKA
TTKHEALTH
TGVSL
LIMECHM
KANPRPLA
TAINWALCHM
JAGSNPHARM
KHAICHEM
UNTTEMI
NOL
GILLETTE
WIREFABR
ANSALHSG
MCCHRLS-B
ADDIND
PIONRINV
ASHNOOR
UNITECH
VIPIND
DHRUVES
SCHABLON
FIBERWEB
LKPFIN
EASTBUILD
MNPLFIN
BAJAJST
KIDUJA
KEYCORP
SHIKHARLETR
GUJHOTE
RAJATH
RASRESOR
PARMCOS-B
JINDHOT
JPTRLES
SIMMOND
BNALTD
LEDOTEA
HAWKINCOOK
WARRENTEA
COCHMAL
BESTEAST
NEAGI
ISTLTD
COSMOFILMS
NEWMKTADV
